"filename", "language", "JSON", "XML", "Ignore", "Properties", "Markdown", "Batch", "HTML", "YAML", "Java", "Shell Script", "JavaScript", "comment", "blank", "total"
"d:\BOA\Dev\apisBoaExpress\.jhipster\ParamEndPoint.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\BOA\Dev\apisBoaExpress\.jhipster\Pays.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"d:\BOA\Dev\apisBoaExpress\.jhipster\RequestParam.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"d:\BOA\Dev\apisBoaExpress\.jhipster\Tracking.json", "JSON", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"d:\BOA\Dev\apisBoaExpress\.jhipster\Transaction.json", "JSON", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 129
"d:\BOA\Dev\apisBoaExpress\.lintstagedrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\BOA\Dev\apisBoaExpress\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 31, 11, 118
"d:\BOA\Dev\apisBoaExpress\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\BOA\Dev\apisBoaExpress\.prettierignore", "Ignore", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\BOA\Dev\apisBoaExpress\.prettierrc", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\BOA\Dev\apisBoaExpress\.yo-rc-global.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\BOA\Dev\apisBoaExpress\.yo-rc.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"d:\BOA\Dev\apisBoaExpress\README.md", "Markdown", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 44, 120
"d:\BOA\Dev\apisBoaExpress\checkstyle.xml", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 21
"d:\BOA\Dev\apisBoaExpress\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 51, 36, 183
"d:\BOA\Dev\apisBoaExpress\package-lock.json", "JSON", 6150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6151
"d:\BOA\Dev\apisBoaExpress\package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"d:\BOA\Dev\apisBoaExpress\pom.xml", "XML", 0, 908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 13, 973
"d:\BOA\Dev\apisBoaExpress\sonar-project.properties", "Properties", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 5, 29
"d:\BOA\Dev\apisBoaExpress\src\main\docker\app.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 7, 1, 29
