Date : 2021-07-23 16:54:32
Directory : d:\BOA\Dev\apisBoaExpress
Total : 189 files,  22839 codes, 1989 comments, 2351 blanks, all 27179 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Java         |        144 |     10,468 |      1,554 |      2,128 |     14,150 |
| JSON         |         11 |     10,398 |          0 |         15 |     10,413 |
| XML          |          6 |      1,122 |         91 |         43 |      1,256 |
| YAML         |         14 |        486 |        284 |         53 |        823 |
| HTML         |          5 |        143 |          0 |         17 |        160 |
| Batch        |          1 |         96 |         51 |         36 |        183 |
| Markdown     |          1 |         76 |          0 |         44 |        120 |
| Properties   |          4 |         37 |          8 |         11 |         56 |
| Ignore       |          1 |          8 |          0 |          1 |          9 |
| JavaScript   |          1 |          3 |          0 |          1 |          4 |
| Shell Script |          1 |          2 |          1 |          2 |          5 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        189 |     22,839 |      1,989 |      2,351 |     27,179 |
| .jhipster                                                                                                  |          5 |        344 |          0 |          5 |        349 |
| .mvn                                                                                                       |          2 |         78 |         31 |         12 |        121 |
| .mvn\wrapper                                                                                               |          2 |         78 |         31 |         12 |        121 |
| src                                                                                                        |        170 |     15,019 |      1,843 |      2,223 |     19,085 |
| src\main                                                                                                   |        142 |     12,094 |      1,654 |      1,650 |     15,398 |
| src\main\docker                                                                                            |         10 |      3,909 |         94 |         20 |      4,023 |
| src\main\docker\grafana                                                                                    |          3 |      3,816 |         20 |          6 |      3,842 |
| src\main\docker\grafana\provisioning                                                                       |          3 |      3,816 |         20 |          6 |      3,842 |
| src\main\docker\grafana\provisioning\dashboards                                                            |          2 |      3,788 |          0 |          3 |      3,791 |
| src\main\docker\grafana\provisioning\datasources                                                           |          1 |         28 |         20 |          3 |         51 |
| src\main\docker\jib                                                                                        |          1 |          2 |          1 |          2 |          5 |
| src\main\docker\prometheus                                                                                 |          1 |         12 |         15 |          5 |         32 |
| src\main\java                                                                                              |        120 |      7,598 |      1,375 |      1,562 |     10,535 |
| src\main\java\com                                                                                          |        120 |      7,598 |      1,375 |      1,562 |     10,535 |
| src\main\java\com\boa                                                                                      |        120 |      7,598 |      1,375 |      1,562 |     10,535 |
| src\main\java\com\boa\api                                                                                  |        120 |      7,598 |      1,375 |      1,562 |     10,535 |
| src\main\java\com\boa\api\aop                                                                              |          1 |         70 |         32 |         10 |        112 |
| src\main\java\com\boa\api\aop\logging                                                                      |          1 |         70 |         32 |         10 |        112 |
| src\main\java\com\boa\api\config                                                                           |         14 |        394 |         99 |         85 |        578 |
| src\main\java\com\boa\api\domain                                                                           |         11 |      1,481 |         47 |        366 |      1,894 |
| src\main\java\com\boa\api\repository                                                                       |         10 |        142 |         29 |         48 |        219 |
| src\main\java\com\boa\api\request                                                                          |          9 |        527 |          0 |        144 |        671 |
| src\main\java\com\boa\api\response                                                                         |         18 |      1,343 |          0 |        344 |      1,687 |
| src\main\java\com\boa\api\security                                                                         |          9 |        260 |         43 |         69 |        372 |
| src\main\java\com\boa\api\security\jwt                                                                     |          3 |        135 |          4 |         32 |        171 |
| src\main\java\com\boa\api\service                                                                          |         22 |      2,218 |        352 |        265 |      2,835 |
| src\main\java\com\boa\api\service\dto                                                                      |          4 |        199 |         18 |         67 |        284 |
| src\main\java\com\boa\api\service\mapper                                                                   |          2 |        124 |          9 |         22 |        155 |
| src\main\java\com\boa\api\service\utils                                                                    |          4 |         97 |        105 |         18 |        220 |
| src\main\java\com\boa\api\web                                                                              |         23 |      1,058 |        756 |        215 |      2,029 |
| src\main\java\com\boa\api\web\rest                                                                         |         23 |      1,058 |        756 |        215 |      2,029 |
| src\main\java\com\boa\api\web\rest\errors                                                                  |          8 |        285 |         13 |         62 |        360 |
| src\main\java\com\boa\api\web\rest\vm                                                                      |          4 |         76 |         15 |         32 |        123 |
| src\main\resources                                                                                         |         12 |        587 |        185 |         68 |        840 |
| src\main\resources\config                                                                                  |          6 |        392 |        157 |         41 |        590 |
| src\main\resources\config\liquibase                                                                        |          2 |        121 |          7 |         14 |        142 |
| src\main\resources\config\liquibase\changelog                                                              |          1 |        105 |          4 |         11 |        120 |
| src\main\resources\i18n                                                                                    |          1 |         14 |          4 |          4 |         22 |
| src\main\resources\templates                                                                               |          4 |        142 |          0 |         16 |        158 |
| src\main\resources\templates\mail                                                                          |          3 |         62 |          0 |          3 |         65 |
| src\test                                                                                                   |         28 |      2,925 |        189 |        573 |      3,687 |
| src\test\java                                                                                              |         23 |      2,794 |        148 |        555 |      3,497 |
| src\test\java\com                                                                                          |         23 |      2,794 |        148 |        555 |      3,497 |
| src\test\java\com\boa                                                                                      |         23 |      2,794 |        148 |        555 |      3,497 |
| src\test\java\com\boa\api                                                                                  |         23 |      2,794 |        148 |        555 |      3,497 |
| src\test\java\com\boa\api\config                                                                           |          4 |        254 |          6 |         76 |        336 |
| src\test\java\com\boa\api\config\timezone                                                                  |          1 |        124 |          3 |         36 |        163 |
| src\test\java\com\boa\api\repository                                                                       |          2 |        106 |          4 |         35 |        145 |
| src\test\java\com\boa\api\repository\timezone                                                              |          2 |        106 |          4 |         35 |        145 |
